fecha,victima,sexo,edad,fecha_fallecimiento,ID,n_victimas,hora,tipo_calle,calle,comuna,longitud,latitud,acusado
2016-01-01,MOTO,MASCULINO,19,2016-01-01,2016-0001,1,04:00:00,AVENIDA,PIEDRA BUENA AV.,8,-58.47533969,-34.68757022,AUTO
2016-01-02,AUTO,MASCULINO,70,2016-01-02,2016-0002,1,01:15:00,AUTOPISTA,"PAZ, GRAL. AV.",9,-58.50877521,-34.66977709,PASAJEROS
2016-01-03,MOTO,MASCULINO,30,2016-01-03,2016-0003,1,07:00:00,AVENIDA,ENTRE RIOS AV.,1,-58.39040293,-34.63189362,AUTO
2016-01-21,MOTO,MASCULINO,29,2016-02-01,2016-0005,1,05:20:00,AVENIDA,SAN JUAN AV.,1,-58.38718297,-34.6224663,PASAJEROS
2016-01-24,MOTO,MASCULINO,30,2016-01-24,2016-0008,1,18:30:00,AVENIDA,27 DE FEBRERO AV.,8,-58.44451316,-34.68475866,OBJETO FIJO
2016-01-24,MOTO,MASCULINO,29,2016-01-26,2016-0009,1,19:10:00,CALLE,NOGOYA,11,-58.50095869,-34.6082544,AUTO
2016-01-29,MOTO,MASCULINO,18,2016-01-29,2016-0010,1,15:20:00,AUTOPISTA,"PAZ, GRAL. AV.",9,-58.50877521,-34.66977709,AUTO
2016-02-08,MOTO,MASCULINO,22,2016-02-08,2016-0012,1,01:20:00,AVENIDA,BELGRANO AV.,1,-58.38048577,-34.61303893,CARGAS
2016-02-10,PEATON,MASCULINO,16,2016-02-10,2016-0013,1,11:30:00,AVENIDA,ENTRE RIOS AV.,1,-58.39114932,-34.62477387,AUTO
2016-02-14,PEATON,FEMENINO,16,2016-02-14,2016-0015,1,05:14:00,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",15,-58.4376002,-34.59912758,AUTO
2016-02-14,MOTO,FEMENINO,19,2016-02-14,2016-0016,1,22:00:00,AVENIDA,REGIMIENTO DE PATRICIOS AV.,4,-58.36882665,-34.64291993,AUTO
2016-02-15,PEATON,MASCULINO,59,2016-02-16,2016-0017,1,16:54:00,AVENIDA,"ACOSTA, MARIANO AV.",8,-58.44989671,-34.65970435,MOTO
2016-02-17,PEATON,FEMENINO,65,2016-02-17,2016-0019,1,09:30:00,CALLE,"DE LA TORRE, LISANDRO",9,-58.50990884,-34.65468721,PASAJEROS
2016-02-17,PEATON,MASCULINO,59,2016-03-02,2016-0020,1,16:00:00,CALLE,SUIPACHA,1,-58.37952223,-34.60653282,AUTO
2016-02-17,AUTO,MASCULINO,34,2016-02-17,2016-0021,1,23:35:00,AVENIDA,DIRECTORIO AV.,7,-58.45157703,-34.63063795,AUTO
2016-02-28,AUTO,MASCULINO,34,2016-02-28,2016-0025,1,04:50:00,AUTOPISTA,"PAZ, GRAL. AV.",8,-58.46244952,-34.70524971,AUTO
2016-02-28,AUTO,MASCULINO,30,2016-03-04,2016-0026,1,07:30:00,CALLE,HOLMBERG,12,-58.49216191,-34.54738649,OBJETO FIJO
2016-03-02,PEATON,MASCULINO,50,2016-03-02,2016-0028,1,10:00:00,AVENIDA,VIAMONTE,1,-58.38199706,-34.60028648,CARGAS
2016-03-04,PEATON,MASCULINO,38,2016-03-04,2016-0029,1,17:30:00,AVENIDA,CABILDO AV.,12,-58.47378664,-34.54153077,PASAJEROS
2016-03-12,PEATON,MASCULINO,52,2016-03-12,2016-0034,1,12:30:00,AVENIDA,"ALCORTA, AMANCIO AV.",4,-58.40623949,-34.65076549,PASAJEROS
2016-03-13,MOTO,MASCULINO,34,2016-03-13,2016-0035,1,06:00:00,AVENIDA,CORRIENTES AV.,3,-58.39228965,-34.60443527,PASAJEROS
2016-03-14,MOTO,MASCULINO,36,2016-03-14,2016-0036,1,00:15:00,CALLE,HERRERA,4,-58.37813396,-34.63668504,PASAJEROS
2016-03-19,MOTO,MASCULINO,20,2016-03-19,2016-0037,1,11:00:00,AVENIDA,LAFUENTE AV.,7,-58.46275892,-34.64358293,MOTO
2016-03-21,PEATON,MASCULINO,29,2016-03-21,2016-0038,1,08:06:00,AUTOPISTA,"PAZ, GRAL. AV.",8,-58.49683458,-34.67892743,PASAJEROS
2016-03-23,MOTO,MASCULINO,20,2016-03-23,2016-0039,1,01:50:00,AVENIDA,"MITRE, BARTOLOME",3,-58.40603217,-34.6088396,PASAJEROS
2016-03-29,MOTO,MASCULINO,54,2016-03-29,2016-0041,2,11:00:00,AVENIDA,DIRECTORIO AV.,7,-58.4607655,-34.63350444,CARGAS
2016-03-29,MOTO,MASCULINO,37,2016-03-30,2016-0041,2,11:00:00,AVENIDA,DIRECTORIO AV.,7,-58.4607655,-34.63350444,CARGAS
2016-03-30,PEATON,FEMENINO,56,2016-03-30,2016-0043,1,18:15:00,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",8,-58.47832463,-34.67494416,CARGAS
2016-03-31,MOTO,MASCULINO,24,2016-03-31,2016-0044,1,19:40:00,AVENIDA,"MORENO, JOSE MARIA AV.",7,-58.43213235,-34.63693953,MULTIPLE
2016-04-15,PEATON,MASCULINO,41,2016-04-15,2016-0047,1,05:30:00,CALLE,LIMA,1,-58.38247061,-34.62571878,PASAJEROS
2016-04-19,PEATON,MASCULINO,78,2016-04-19,2016-0050,1,09:50:00,AVENIDA,"GORDILLO, TIMOTEO",8,-58.47305463,-34.68550712,PASAJEROS
2016-04-20,MOTO,MASCULINO,36,2016-04-20,2016-0051,1,04:00:00,AVENIDA,"ALCORTA, AMANCIO AV.",4,-58.40623949,-34.65076549,CARGAS
2016-04-22,PEATON,MASCULINO,38,2016-04-22,2016-0053,1,09:30:00,AVENIDA,TRIUNVIRATO AV.,12,-58.4842918,-34.57558053,PASAJEROS
2016-04-23,MOTO,MASCULINO,30,2016-04-25,2016-0054,1,21:00:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.48695354,-34.68795245,MOTO
2016-04-25,PEATON,MASCULINO,79,2016-04-28,2016-0055,1,20:30:00,AVENIDA,"CASTILLA, RAMON, MARISCAL",14,-58.40021959,-34.57964781,CARGAS
